tablescraper-selected-row,tablescraper-selected-row href,grey,linkified,linkified href
After just 100 days I can report to the nation: America is on the move again.,https://twitter.com/POTUS/status/1387574739363942404,"Apr 29, 2021",,
Tune in as I deliver my first address to a Joint Session of Congress.,https://twitter.com/POTUS/status/1387571486542766085,"Apr 29, 2021",https://t.co/9j8BqapGCC,http://t.co/9j8BqapGCC
Looking forward to tonight’s address to recap our progress and chart a path forward. Join me.,https://twitter.com/POTUS/status/1387518834735734789,"Apr 28, 2021",https://t.co/oV7cEir7ve,http://t.co/oV7cEir7ve
"To make tonight’s joint address accessible for all Americans, every White House livestream will have American Sign Language (ASL) interpretation for the first time in history. You can learn more about how to tune in here:",https://twitter.com/POTUS/status/1387422304808878087,"Apr 28, 2021",https://t.co/0MicNU8f7S,http://t.co/0MicNU8f7S
"Tonight, I’ll be delivering my first address to a Joint Session of Congress. You can watch right here on Twitter, where we’ll be providing commentary from administration officials throughout the speech. Learn more:",https://twitter.com/POTUS/status/1387388503810625540,"Apr 28, 2021",https://t.co/0MicNU8f7S,http://t.co/0MicNU8f7S
When the CDC says you don’t have to wear a mask outside if you’re fully vaccinated and not in a crowd.,https://twitter.com/POTUS/status/1387157107716263944,"Apr 27, 2021",https://t.co/4XqtkZGjsI,http://t.co/4XqtkZGjsI
"I believe no one should work full time and still live in poverty. That’s why today, I raised the minimum wage to $15 an hour for people working on federal contracts.",https://twitter.com/POTUS/status/1387123131500924929,"Apr 27, 2021",,
"Yes, the vaccines are about saving your life and the lives of the people around you. But they are also about helping you get back to normal living.

Go get the shot — it’s never been easier.",https://twitter.com/POTUS/status/1387106268188446722,"Apr 27, 2021",,
"Because of the extraordinary progress we’ve made in the fight against COVID-19, the CDC made a big announcement today: If you are fully vaccinated — and if you are outdoors and not in a large crowd — you no longer need to wear a mask.",https://twitter.com/POTUS/status/1387104758335479813,"Apr 27, 2021",,
Tune in as I deliver an update on our COVID-19 response.,https://twitter.com/POTUS/status/1387102955397058566,"Apr 27, 2021",https://t.co/FAKVRf9ELF,http://t.co/FAKVRf9ELF
"With the American Jobs Plan, we’re going to bring quality, affordable high-speed internet to every single American — no matter where they live.",https://twitter.com/POTUS/status/1386831207179198464,"Apr 26, 2021",,
"Remember: If you received either the Pfizer or Moderna COVID-19 vaccine, you need two doses to receive the full scope of protection. Don’t skip your second shot.",https://twitter.com/POTUS/status/1386809816530702337,"Apr 26, 2021",,
"I believe every worker should have a real opportunity to organize and collectively bargain. That’s why today, I established a White House Task Force on Worker Organizing and Empowerment — helping empower workers to make the right choice for themselves and their families.",https://twitter.com/POTUS/status/1386792203306115076,"Apr 26, 2021",https://t.co/BexAgGmHAI,http://t.co/BexAgGmHAI
"Today, we’re launching a new program funded by the American Rescue Plan to provide nutrition assistance to more than 30 million children over the summer. Help is here to ensure no kid goes hungry in America.",https://twitter.com/POTUS/status/1386756976789671939,"Apr 26, 2021",,
"Today, I spoke with Prime Minister @narendramodi and pledged America’s full support to provide emergency assistance and resources in the fight against COVID-19. India was there for us, and we will be there for them.",https://twitter.com/POTUS/status/1386746809431830536,"Apr 26, 2021",,
"To the millions of Americans getting vaccinated every day: your actions are a powerful demonstration of unity and resolve. And a reminder of what we can accomplish when we pull together. Thank you for doing your part to protect yourselves, your loved ones, and your neighbors.",https://twitter.com/POTUS/status/1386692192031363073,"Apr 26, 2021",https://t.co/iEy2PSBcYm,http://t.co/iEy2PSBcYm
"Jill and I send our best wishes to people of the Jain faith celebrating Mahavir Jayanti. Mahavir Swami guided others to seek truth, turn away from violence, and live in harmony with all beings. May we strive to uphold these values.",https://twitter.com/POTUS/status/1386462023849025536,"Apr 25, 2021",,
"Get vaccinated, folks.",https://twitter.com/POTUS/status/1386447427935293444,"Apr 25, 2021",,
"Just as India sent assistance to the United States as our hospitals were strained early in the pandemic, we are determined to help India in its time of need.",https://twitter.com/POTUS/status/1386401947729633280,"Apr 25, 2021",https://t.co/SzWRj0eP3y,http://t.co/SzWRj0eP3y
Don’t forget: A special enrollment period for health insurance is open through August 15. Head to  and join the over half a million Americans who’ve gotten covered.,https://twitter.com/POTUS/status/1386379482861379585,"Apr 25, 2021",https://t.co/gRX1fGFEzj,http://t.co/gRX1fGFEzj
Our best days still lie ahead.,https://twitter.com/POTUS/status/1386354702351220739,"Apr 25, 2021",https://t.co/QiTZbt8OTK,http://t.co/QiTZbt8OTK
"Before I took office, I promised help was on the way. Just three months in, I’m proud to say help is here. We’ve delivered over 150 million relief checks, administered over 200 million shots, and are working hard to build back better every day.",https://twitter.com/POTUS/status/1386076099130580995,"Apr 24, 2021",,
"America has never been unable to meet a challenge if we put our minds to it.
 
I know we can tackle the threat of climate change while seizing the opportunities of a cleaner, stronger, and more resilient economy.
 
Let’s get to work.",https://twitter.com/POTUS/status/1386032194020429827,"Apr 24, 2021",,
"The truth is I’m a union president, and I make no bones about that. I’m committed to strengthening our unions and rebuilding the backbone of this country — the middle class. I sat down to talk with Louis about my plans to make it happen.",https://twitter.com/POTUS/status/1385956924768804871,"Apr 24, 2021",https://t.co/bDPugJL0P5,http://t.co/bDPugJL0P5
"It is time for Congress to eliminate gun manufacturers’ immunity from liability.
 
I thank Congressman Schiff and Senator Blumenthal for their leadership, and urge Congress to swiftly repeal this immunity.",https://twitter.com/POTUS/status/1385737978308435968,"Apr 23, 2021",,
"It’s long past time giant corporations pay their fair share.
 
I believe we should raise the corporate tax rate, then use that money to rebuild our infrastructure, expand high-speed internet, and ensure every American has clean drinking water.
 
Let’s make it happen.",https://twitter.com/POTUS/status/1385707553460350977,"Apr 23, 2021",,
There’s no time to waste when it comes to the existential threat of climate change. That’s why I’ve set a bold new goal of cutting U.S. greenhouse gas emissions at least in half by 2030.,https://twitter.com/POTUS/status/1385680296046116864,"Apr 23, 2021",,
"From the moment we took office, my Administration has been working around the clock to get America vaccinated quickly and equitably.

Here’s a breakdown of our progress:",https://twitter.com/POTUS/status/1385595796662460416,"Apr 23, 2021",https://t.co/2kxSimaWQc,http://t.co/2kxSimaWQc
"No one should be denied a roof over their head simply because of their gender identity. Today, @HUDgov took action to make that clear.",https://twitter.com/POTUS/status/1385393986001588229,"Apr 23, 2021",https://t.co/BMmRG6EWfQ,http://t.co/BMmRG6EWfQ
"To all the states, cities, tribal nations, businesses, and organizations that stepped up the past four years to lead on tackling climate change: thank you. 
 
Today we announced a new national target and from here on out, you’ll have a partner in me and my Administration.",https://twitter.com/POTUS/status/1385383920338866177,"Apr 23, 2021",,
"We’ve officially passed 200 million shots since the start of our Administration. It’s a big milestone, but we still have a long way to go. Get vaccinated, folks.",https://twitter.com/POTUS/status/1385368353196347395,"Apr 22, 2021",https://t.co/EgRIlGQKlV,http://t.co/EgRIlGQKlV
"I applaud the Senate and the Congressional Asian Pacific American Caucus for passing the COVID-19 Hate Crimes Act — and for bringing us closer to achieving justice and equality for the AAPI community.

Acts of hate against Asian Americans are wrong, un-American, and must stop.",https://twitter.com/POTUS/status/1385343517359288323,"Apr 22, 2021",,
"No nation can solve the climate crisis on our own — all of us have to step up. Today’s Leaders Summit on Climate is our first step to set our world on a path to a secure, prosperous, and sustainable future.
 
Time is short, but I believe that we can and will do this.",https://twitter.com/POTUS/status/1385319373276172288,"Apr 22, 2021",https://t.co/t49hfXdkEd,http://t.co/t49hfXdkEd
"RT @USTreasury: Like millions of #smallbusiness owners, Tula feared her business wouldn’t survive the economic downturn caused by the pande…",https://twitter.com/POTUS/status/1385318597774430210,"Apr 22, 2021",,
"Today, we officially reached our goal of 200 million shots in my first 100 days.
 
Make no mistake: This is an American achievement. It’s a powerful demonstration of unity and resolve. And a reminder of what we can accomplish when we come together in pursuit of a common goal.",https://twitter.com/POTUS/status/1385269414564597764,"Apr 22, 2021",,
America is back. We rejoined the Paris Agreement and are ready to rally the world to tackle the climate crisis. Let’s do this.,https://twitter.com/POTUS/status/1385258342373892103,"Apr 22, 2021",,
"The signs are unmistakable.
The science is undeniable.
The costs of inaction keep mounting.
 
The United States isn’t waiting — we are resolved to take action to combat climate change.",https://twitter.com/POTUS/status/1385247045376749569,"Apr 22, 2021",,
"When I think of climate change, I think about jobs. 
 
Within our climate response lies an extraordinary engine of job creation ready to be fired up.",https://twitter.com/POTUS/status/1385243242359312386,"Apr 22, 2021",,
"This Earth Day, I’m proud to say science is back.",https://twitter.com/POTUS/status/1385232169468055561,"Apr 22, 2021",,
