tablescraper-selected-row,linkified,linkified href,tablescraper-selected-row href,grey
More places are experimenting with programs that send civilian responders instead of police to help people experiencing mental health crises. It’s a promising development in law enforcement in the wake of this summer’s protests.,https://t.co/kMj3pTp0pU,http://t.co/kMj3pTp0pU,https://twitter.com/BarackObama/status/1379090502058934272,"Apr 05, 2021"
"This Easter, I hope we can all take some time to reflect on the blessings we enjoy and the hope we have for a brighter future. From our family to yours, have a safe and happy Easter.",https://t.co/hbTao0fIWd,http://t.co/hbTao0fIWd,https://twitter.com/BarackObama/status/1378716884732936202,"Apr 04, 2021"
"Congratulations to @MLB for taking a stand on behalf of voting rights for all citizens. There’s no better way for America’s pastime to honor the great Hank Aaron, who always led by example.",,,https://twitter.com/BarackObama/status/1378331478380142593,"Apr 03, 2021"
"It’s always great catching up with @IsabelWilkerson, and this time we’re talking about A Promised Land and our mutual love of books with @BNBuzz. Take a look:",https://t.co/BFvUyPMYo2,http://t.co/BFvUyPMYo2,https://twitter.com/BarackObama/status/1376984440048660485,"Mar 30, 2021"
"Bruce and I agree that our most important anchor over the years has been our families. We’re both lucky enough to have remarkable partners who ground us, and kids who help us understand what really matters in life. Listen to our conversation on @Spotify:",https://t.co/Tdl0izWsup,http://t.co/Tdl0izWsup,https://twitter.com/BarackObama/status/1376913644873736199,"Mar 30, 2021"
"My family and I are mourning the loss of our beloved grandmother, Sarah Ogwel Onyango Obama, affectionately known to many as “Mama Sarah” but known to us as “Dani” or Granny. We will miss her dearly, but we’ll celebrate with gratitude her long and remarkable life.",https://t.co/avDY4f1PVu,http://t.co/avDY4f1PVu,https://twitter.com/BarackObama/status/1376528504490196993,"Mar 29, 2021"
"As we build the Obama Presidential Center on the South Side of Chicago, we're focused on generating sustainable jobs for the local community. Our new workforce initiative will open doors to those often left out of the construction industry.",https://t.co/D5fAHFMdit,http://t.co/D5fAHFMdit,https://twitter.com/BarackObama/status/1375462571436834818,"Mar 26, 2021"
"Let’s be clear: This is a deliberate attempt to undermine our democracy by making it harder to vote. That’s why passing the For the People Act is so important, and why every one of us needs to keep up the fight. Our future depends on it.",https://t.co/YwBib0JYZw,http://t.co/YwBib0JYZw,https://twitter.com/BarackObama/status/1374847649195700231,"Mar 24, 2021"
"Now we need to keep it up. Because until every single American has access to quality, affordable health care, we have more work to do—and I’m grateful to President Biden for continuing to lead the fight.",,,https://twitter.com/BarackObama/status/1374421101694963726,"Mar 23, 2021"
"The American Rescue Plan lowers premiums for millions of families, makes health insurance more affordable for low-and middle-income Americans, and provides incentives for states to expand Medicaid and cover as many as four million additional Americans.",,,https://twitter.com/BarackObama/status/1374421099933397004,"Mar 23, 2021"
"And now, thanks to the hard work of President Biden, Senator Schumer, Speaker Pelosi, and Americans all across the country who have spent years fighting against repeal and pushing to improve the law, our starter home is starting to look pretty spacious.",,,https://twitter.com/BarackObama/status/1374421098696085511,"Mar 23, 2021"
But I’ve always said that the ACA is like a starter home—it’s our job to keep tinkering with it and improving it over time.,,,https://twitter.com/BarackObama/status/1374421097655848960,"Mar 23, 2021"
