tablescraper-selected-row,tablescraper-selected-row href,grey,linkified,linkified href
"RT @JoeBiden: The American Jobs Plan is a once-in-a-generation investment in America. It will:
✅Modernize 20,000 miles of highways, roads,…",https://twitter.com/KamalaHarris/status/1377414924784254979,"Apr 01, 2021",,
"Thanks to President @JoeBiden’s leadership, help is here. Watch as he speaks live from Pittsburgh about the investments we need to make in our country—and the good-paying, union jobs of the future that we can create.",https://twitter.com/KamalaHarris/status/1377359248544309250,"Mar 31, 2021",https://t.co/TDXwDM4n08,http://t.co/TDXwDM4n08
"RT @VP: Transgender rights are human rights. Today, in honor of transgender Americans everywhere, @POTUS signed a proclamation to recognize…",https://twitter.com/KamalaHarris/status/1377347361794486272,"Mar 31, 2021",,
RT @VP: A harm against any one of us is a harm against all of us. @POTUS and I will not be silent which is why our administration is taking…,https://twitter.com/KamalaHarris/status/1376990367451594755,"Mar 30, 2021",,
"RT @POTUS: I’m proud to announce that three weeks from today, 90% of adults will be eligible to get vaccinated — and 90% of Americans will…",https://twitter.com/KamalaHarris/status/1376636722277146632,"Mar 29, 2021",,
RT @WhiteHouse: Tune in as President Biden delivers remarks on the COVID-19 response and the state of vaccinations.,https://twitter.com/KamalaHarris/status/1376602970981285889,"Mar 29, 2021",https://t.co/d2MAp8pYNa,http://t.co/d2MAp8pYNa
"RT @VP: The American Rescue Plan: 
- Delivers $1,400 checks
- Gets more shots in arms
- Reopens schools safely
- Rescues our economy 
- Wil…",https://twitter.com/KamalaHarris/status/1376278473019420675,"Mar 28, 2021",,
"RT @POTUS: Equal pay for equal work is common sense — and long overdue. This week, the First Lady and I sat down with Megan Rapinoe and Mar…",https://twitter.com/KamalaHarris/status/1375862544183754761,"Mar 27, 2021",,
"RT @VP: The @SecondGentleman and I enjoyed participating in the White House's Virtual Passover Celebration. To Jewish families in the U.S.,…",https://twitter.com/KamalaHarris/status/1375548858063843331,"Mar 26, 2021",,
RT @WhiteHouse: Food insecurity is a crisis affecting millions of Americans. Watch as Chef José Andrés shares how the American Rescue Plan…,https://twitter.com/KamalaHarris/status/1375511847944646656,"Mar 26, 2021",,
"RT @POTUS: Today, I’m setting a new goal: 200 million shots in arms by my 100th day in office.",https://twitter.com/KamalaHarris/status/1375192243238277127,"Mar 25, 2021",https://t.co/1zCPzq5gG0,http://t.co/1zCPzq5gG0
"RT @VP: To get through this pandemic, we must lift up communities across this country. The American Rescue Plan does just that: it provides…",https://twitter.com/KamalaHarris/status/1375192184010457090,"Mar 25, 2021",,
RT @WhiteHouse: Tune in as President Biden holds his first formal press conference.,https://twitter.com/KamalaHarris/status/1375137438566322178,"Mar 25, 2021",https://t.co/tJdL5X559D,http://t.co/tJdL5X559D
"RT @POTUS: This morning, I signed the SAVE LIVES Act into law — expanding the VA’s authority and allowing them to provide COVID-19 vaccinat…",https://twitter.com/KamalaHarris/status/1374828340876619776,"Mar 24, 2021",,
RT @VP: Last month I spoke with Astronauts Dr. Shannon Walker and Dr. Kate Rubins aboard the International Space Station. They are setting…,https://twitter.com/KamalaHarris/status/1374762003814871044,"Mar 24, 2021",,
"RT @POTUS: We can ban assault weapons and high-capacity magazines.
 
We can close loopholes in our gun background check system.
 
This is n…",https://twitter.com/KamalaHarris/status/1374460335931887622,"Mar 23, 2021",,
"RT @VP: The American Rescue Plan is getting:

- America vaccinated
- $1,400 checks to those in need
- At least a $3,000 tax credit per chil…",https://twitter.com/KamalaHarris/status/1374107241956192260,"Mar 22, 2021",,
RT @WHCOVIDResponse: Over the weekend we set a new record with 6 million shots reported administered across the country. We’ve now got 81 m…,https://twitter.com/KamalaHarris/status/1374059465247498245,"Mar 22, 2021",,
"RT @POTUS: In two months, we’ve:

- Passed the American Rescue Plan
- Administered 100 million shots
- Rejoined the Paris Agreement
- Rever…",https://twitter.com/KamalaHarris/status/1373643489582456840,"Mar 21, 2021",,
RT @VP: Sending best wishes to @SuluhuSamia following her swearing in as Tanzania's new President - the first woman to hold the office. The…,https://twitter.com/KamalaHarris/status/1373351701944619010,"Mar 20, 2021",,
"RT @VP: Today @POTUS and I met with Asian American leaders in Atlanta, Georgia to discuss the rise in attacks against the community. We wan…",https://twitter.com/KamalaHarris/status/1373045095377813513,"Mar 19, 2021",,
RT @VP: Dreamers and TPS holders are essential to our community and economy. Plain and simple. And we must lift barriers they face and prov…,https://twitter.com/KamalaHarris/status/1372962587948748802,"Mar 19, 2021",,
"RT @POTUS: Before I took office, I set an ambitious goal of administering 100 million shots in my first 100 days as president.

I’m proud t…",https://twitter.com/KamalaHarris/status/1372720073031442435,"Mar 19, 2021",,
"RT @VP: We must create a future that lifts up all communities. @SecDebHaaland has committed her life to ensuring justice, equality, and fai…",https://twitter.com/KamalaHarris/status/1372626277065195528,"Mar 18, 2021",,
RT @VP: Doug and I grieve with the families and communities of those whose lives were horrifically taken last night. Violence is never acce…,https://twitter.com/KamalaHarris/status/1372373359401562116,"Mar 18, 2021",,
RT @VP: Far too many small business owners have had to close their doors or let workers go during the pandemic. The American Rescue Plan pr…,https://twitter.com/KamalaHarris/status/1371930530871136263,"Mar 16, 2021",,
"RT @VP: Vaccination sites like the University of Nevada, Las Vegas, have helped Nevada administer over 989,000 shots. The American Rescue P…",https://twitter.com/KamalaHarris/status/1371577005897084929,"Mar 15, 2021",,
RT @VP: Justice Ruth Bader Ginsburg was notorious for recognizing the women who came before her and fighting to pave the way for those to c…,https://twitter.com/KamalaHarris/status/1371513013681934337,"Mar 15, 2021",,
"RT @VP: I am honored to have joined @POTUS at the historic Quad summit. We discussed a range of issues including COVID, vaccinations, clima…",https://twitter.com/KamalaHarris/status/1371240552436482051,"Mar 14, 2021",,
RT @POTUS: To everyone out there who’s hurting or struggling to get by: help is here.,https://twitter.com/KamalaHarris/status/1370837007505752068,"Mar 13, 2021",https://t.co/fkME0yMmBK,http://t.co/fkME0yMmBK
RT @WhiteHouse: Tune in as President Biden and Vice President Harris deliver remarks on the American Rescue Plan.,https://twitter.com/KamalaHarris/status/1370458169772756993,"Mar 12, 2021",https://t.co/5NUiFT8Wxu,http://t.co/5NUiFT8Wxu
"RT @VP: - Every adult will be eligible to get a vaccine by May 1
- More than 95 million shots have been administered
- 33 million Americans…",https://twitter.com/KamalaHarris/status/1370410813278785542,"Mar 12, 2021",,
RT @POTUS: All adult Americans will be eligible to get the vaccine no later than May 1.,https://twitter.com/KamalaHarris/status/1370184947022106628,"Mar 12, 2021",,
"RT @POTUS: Before I took office, I promised you that help was on the way. Today, I signed the American Rescue Plan into law, and can offici…",https://twitter.com/KamalaHarris/status/1370129955238117376,"Mar 11, 2021",,
"RT @VP: The American Rescue Plan has passed, but what does that mean for you? Find out here:",https://twitter.com/KamalaHarris/status/1370129127479578624,"Mar 11, 2021",https://t.co/jksYhDbWc1,http://t.co/jksYhDbWc1
"RT @POTUS: One in four adults in the U.S. has received their first COVID-19 vaccine — and we’re now leading the world in vaccinations.

Tha…",https://twitter.com/KamalaHarris/status/1370062982646992898,"Mar 11, 2021",,
"RT @VP: The moment when the American Rescue Plan passed in the House. Tonight, families across the country will sleep better knowing help i…",https://twitter.com/KamalaHarris/status/1369828373032230914,"Mar 11, 2021",,
RT @WhiteHouse: Big news: Congress just passed President Biden’s American Rescue Plan – a historic legislative package that will turn the p…,https://twitter.com/KamalaHarris/status/1369739712286588931,"Mar 10, 2021",,
RT @POTUS: I believe every worker deserves a free and fair choice to join a union — and the PRO Act will bring us closer to that reality. I…,https://twitter.com/KamalaHarris/status/1369356363185414148,"Mar 09, 2021",,
"RT @VP: On this #InternationalWomensDay, I want to honor the women who for over a year have gone to work, often risking their health, to no…",https://twitter.com/KamalaHarris/status/1369049903943589889,"Mar 08, 2021",,
"RT @VP: The American Rescue Plan will save our economy. It aids our small businesses, creates millions of jobs, and extends unemployment as…",https://twitter.com/KamalaHarris/status/1368948370346307585,"Mar 08, 2021",,
"RT @VP: 56 years ago, hundreds of peaceful protesters, including John Lewis, attempted to cross Edmund Pettus Bridge. They were beaten and…",https://twitter.com/KamalaHarris/status/1368633397921292291,"Mar 07, 2021",,
"RT @POTUS: When I took office, I promised help was on the way. Thanks to @SenSchumer and Senate Democrats, we've taken one more giant step…",https://twitter.com/KamalaHarris/status/1368288526018699265,"Mar 06, 2021",,
"RT @VP: Hate of any kind is simply unacceptable. Right now, Asian Americans and Asian immigrants in our country are facing an increase in h…",https://twitter.com/KamalaHarris/status/1368244095601278977,"Mar 06, 2021",,
RT @WhiteHouse: President Biden knows there’s no time to waste. He’s urging the Senate to quickly pass the American Rescue Plan to provide…,https://twitter.com/KamalaHarris/status/1367961690399252484,"Mar 05, 2021",,
"RT @VP: .@POTUS and I urge the Senate to pass the American Rescue Plan. It will:
- Send $1,400 checks to those who need it most
- Create a…",https://twitter.com/KamalaHarris/status/1367868882929729539,"Mar 05, 2021",,
RT @VP: A third safe and effective vaccine is here. Get your shot when it’s your turn. It will save lives.,https://twitter.com/KamalaHarris/status/1367563284627529728,"Mar 04, 2021",,
"RT @VP: Last night, the House voted to pass H.R. 1. @POTUS and I look forward to working with Congress to strengthen our democracy and prot…",https://twitter.com/KamalaHarris/status/1367502168182435848,"Mar 04, 2021",,
"RT @POTUS: On February 15, my Administration opened a special enrollment period for health insurance and more than 200,000 Americans have a…",https://twitter.com/KamalaHarris/status/1367230126027657222,"Mar 03, 2021",,
RT @WhiteHouse: Our nation is facing two major crises — an economic crisis brought on by a public health crisis. President Biden is calling…,https://twitter.com/KamalaHarris/status/1367125031239774218,"Mar 03, 2021",,
"RT @POTUS: Today, I am directing every state to prioritize educators for vaccination. We want every educator, school staff member, and chil…",https://twitter.com/KamalaHarris/status/1366867764997160965,"Mar 02, 2021",,
RT @VP: About 2.5 million women have been forced out of the workforce during the pandemic. The American Rescue Plan provides relief to wome…,https://twitter.com/KamalaHarris/status/1366805498385870852,"Mar 02, 2021",,
"RT @VP: There is dignity in all work. And when people can join together in unions, free from interference, every worker is more respected a…",https://twitter.com/KamalaHarris/status/1366486742010855425,"Mar 01, 2021",,
"RT @JoeBiden: A campaign for everyone who’s been knocked down or counted out.

A campaign that brought Americans together of every race, et…",https://twitter.com/KamalaHarris/status/1366426416116625411,"Mar 01, 2021",,
"RT @WhiteHouse: Last week, the Biden-Harris Administration:

- Reached 50 million vaccinations
- Announced the shipment of 25 million masks…",https://twitter.com/KamalaHarris/status/1366095981717184518,"Feb 28, 2021",,
"RT @VP: The House has voted to pass the American Rescue Plan. This is a critical step towards getting relief to those who need it, getting…",https://twitter.com/KamalaHarris/status/1365724455335510017,"Feb 27, 2021",,
"RT @POTUS: The week before I took office, 6 million COVID-19 vaccine shots were administered.

This coming week, our Administration will li…",https://twitter.com/KamalaHarris/status/1365418408691585033,"Feb 26, 2021",,
"RT @VP: Yesterday, the 50 millionth vaccination was administered since @POTUS and I took office. This is weeks ahead of schedule and we are…",https://twitter.com/KamalaHarris/status/1365360139361001474,"Feb 26, 2021",,
"RT @POTUS: Transgender rights are human rights — and the House made that clear today by passing the Equality Act. 

Now it's time for the S…",https://twitter.com/KamalaHarris/status/1365117231894519815,"Feb 26, 2021",,
"RT @POTUS: I believe every American deserves the peace of mind that comes with quality, affordable health care. That’s why we opened a spec…",https://twitter.com/KamalaHarris/status/1365053146540695553,"Feb 25, 2021",,
"RT @VP: Today I visited a Giant pharmacy in Washington D.C., where local residents are getting vaccinated. It’s one of more than 7,000 phar…",https://twitter.com/KamalaHarris/status/1364979115506491393,"Feb 25, 2021",,
RT @POTUS: Wearing a mask is one of the most important things we can do to protect others and change the course of this pandemic. That’s wh…,https://twitter.com/KamalaHarris/status/1364728589468499969,"Feb 25, 2021",,
"RT @VP: Yesterday, @POTUS and I met with Prime Minister @JustinTrudeau to discuss our close partnership. We look forward to working closely…",https://twitter.com/KamalaHarris/status/1364620320838189059,"Feb 24, 2021",,
"RT @POTUS: A Black man should be able to go for a jog without fearing for his life. Today, we remember Ahmaud Arbery’s life and we dedicate…",https://twitter.com/KamalaHarris/status/1364344466249777153,"Feb 23, 2021",,
"RT @WHCOVIDResponse: This afternoon, we announced that we’re increasing the weekly vaccine supply to states to 14.5 million doses starting…",https://twitter.com/KamalaHarris/status/1364344312138526720,"Feb 23, 2021",,
"RT @VP: American families have lost more than 500,000 sons and daughters, mothers and fathers to COVID-19. Today and every day, we’re remem…",https://twitter.com/KamalaHarris/status/1364015965579730947,"Feb 23, 2021",,
"RT @POTUS: If there’s one message I want to cut through to everyone in this country, it’s this: The vaccines are safe.

For yourself, your…",https://twitter.com/KamalaHarris/status/1363958453354528773,"Feb 22, 2021",,
RT @VP: Millions of small businesses – especially those owned by women and people of color – are struggling to keep their doors open. Today…,https://twitter.com/KamalaHarris/status/1363909916700921857,"Feb 22, 2021",,
RT @WhiteHouse: ICYMI: A special enrollment period for health insurance is open through May 15! Head to  and get cov…,https://twitter.com/KamalaHarris/status/1363605003542421506,"Feb 21, 2021",https://t.co/Z1ZSzQNxNn,http://t.co/Z1ZSzQNxNn
RT @WhiteHouse: Today marks one month since President Biden and Vice President Harris took office. And during that month they’ve worked tir…,https://twitter.com/KamalaHarris/status/1363307069848383490,"Feb 21, 2021",,
RT @VP: Our administration will continue working hand-in-hand with state and local authorities to bring relief to the people of Texas and a…,https://twitter.com/KamalaHarris/status/1362890874947063812,"Feb 19, 2021",,
"RT @POTUS: Today, America is officially back in the Paris Climate Agreement. Let’s get to work.",https://twitter.com/KamalaHarris/status/1362834609164218369,"Feb 19, 2021",,
"RT @WhiteHouse: Texas — If you’re without heat, head to  to find a warming shelter near you or call 211 for addition…",https://twitter.com/KamalaHarris/status/1362512637934919682,"Feb 18, 2021",https://t.co/5WhFEK6B8u,http://t.co/5WhFEK6B8u
"RT @POTUS: Jill and I are keeping Texas, Oklahoma, and other impacted states in our prayers. I’ve declared states of emergency, authorized…",https://twitter.com/KamalaHarris/status/1362458792567468035,"Feb 18, 2021",,
RT @VP: Big challenges demand big solutions. The work continues.,https://twitter.com/KamalaHarris/status/1362190054970556422,"Feb 17, 2021",https://t.co/gj9qIPwvNm,http://t.co/gj9qIPwvNm
RT @WHCOVIDResponse: Our 7-day daily average of 1.7 million doses administered compares to an average of 892k the week before President Bid…,https://twitter.com/KamalaHarris/status/1362146373915840517,"Feb 17, 2021",,
"RT @POTUS: Tonight, I’ll be answering questions at my first town hall since taking office. Make sure to tune in to CNN at 9 PM ET / 8 PM CT…",https://twitter.com/KamalaHarris/status/1361844355133284354,"Feb 17, 2021",,
"RT @POTUS: Starting this week, our Administration is:

- Increasing weekly vaccine shipments to states to 13.5 million doses — a 57% increa…",https://twitter.com/KamalaHarris/status/1361809014229762052,"Feb 16, 2021",,
RT @VP: People in this country are hurting right now – especially women. About 2.5 million women have lost their jobs or dropped out of the…,https://twitter.com/KamalaHarris/status/1361756053835313156,"Feb 16, 2021",,
"RT @VP: During a @POTUS visit to my office (his old office), he showed me where - on Valentine’s Day in 2009 - @FLOTUS wrote “Joe loves Jil…",https://twitter.com/KamalaHarris/status/1361083996684312579,"Feb 14, 2021",,
RT @VP: Millions of women have lost their jobs or dropped out of the workforce during the pandemic. I wrote about how this is a national em…,https://twitter.com/KamalaHarris/status/1360609910220869634,"Feb 13, 2021",,
RT @VP: Hate crimes and violence against Asian Americans and Asian immigrants have skyrocketed during the pandemic. That’s why our Administ…,https://twitter.com/KamalaHarris/status/1360319866885074952,"Feb 12, 2021",,
"RT @SecondGentleman: Thank you, @FLOTUS, for spreading the love.",https://twitter.com/KamalaHarris/status/1360307034575536131,"Feb 12, 2021",https://t.co/wRC2n8nruL,http://t.co/wRC2n8nruL
RT @POTUS: No child should grow up in poverty. The American Rescue Plan will expand the child tax credit and cut the child poverty rate in…,https://twitter.com/KamalaHarris/status/1359989964365328387,"Feb 11, 2021",,
"RT @VP: To all our servicemembers:
 
@POTUS and I will always honor your service and sacrifice. We will always support you.  
 
Your succes…",https://twitter.com/KamalaHarris/status/1359906094571732993,"Feb 11, 2021",,
"RT @VP: Thank you to the Mayors of the African American Mayors Association, who are at the center of this pandemic response. Our cities and…",https://twitter.com/KamalaHarris/status/1359655728483602434,"Feb 11, 2021",,
"RT @VP: The American Rescue Plan will speed up vaccinations. This is about saving lives and containing the pandemic.

 It’s time for Congre…",https://twitter.com/KamalaHarris/status/1359618911210250253,"Feb 10, 2021",,
RT @POTUS: We can’t stand by as millions of Americans struggle to put food on the table. Congress needs to immediately pass the American Re…,https://twitter.com/KamalaHarris/status/1359285966708629505,"Feb 09, 2021",,
"RT @VP: We can contain the pandemic, help our small businesses, and get Americans back to work. 

But Congress needs to act - and pass the…",https://twitter.com/KamalaHarris/status/1359171168155160580,"Feb 09, 2021",,
"RT @VP: Today @POTUS and I did a virtual tour of the State Farm Stadium in Arizona, where thousands are getting vaccinated every day. Thank…",https://twitter.com/KamalaHarris/status/1358897168396992515,"Feb 08, 2021",,
RT @POTUS: Making vaccines free and accessible for every American — that’s the American Rescue Plan.,https://twitter.com/KamalaHarris/status/1358851437942472704,"Feb 08, 2021",https://t.co/5GpH0VYWIE,http://t.co/5GpH0VYWIE
